"Country","event_clarity","date_prec","year","longtitude","latitude"
"Myanmar (Burma)",1,1,2011,96.25,18.25
"Myanmar (Burma)",1,1,2008,97.178824,24.260229
"Myanmar (Burma)",1,1,2011,97.178824,24.260229
"Myanmar (Burma)",1,1,2006,97.7,17.7
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.178824,24.260229
"Myanmar (Burma)",1,2,1991,95.4,16.283333
"Myanmar (Burma)",1,1,2003,97.7,17.7
"Myanmar (Burma)",1,1,2000,93.126886,22.788078
"Myanmar (Burma)",2,4,1998,97.969422,9.631358
"Myanmar (Burma)",1,1,2000,98.47457,14.091061
"Myanmar (Burma)",1,1,2005,98.194231,14.073749
"Myanmar (Burma)",1,1,1999,96.835253,18.929347
"Myanmar (Burma)",1,1,1997,98.916667,22.9
"Myanmar (Burma)",1,1,2003,97.966664,21.427761
"Myanmar (Burma)",1,1,2011,97.7,17.7
"Myanmar (Burma)",1,1,2011,97.7,17.7
"Myanmar (Burma)",1,4,1991,97.7,17.7
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2010,97.7,17.7
"Myanmar (Burma)",1,1,2010,97.7,17.7
"Myanmar (Burma)",1,2,2007,97.7,17.7
"Myanmar (Burma)",1,1,2007,97.7,17.7
"Myanmar (Burma)",1,1,2000,97.7,17.7
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,1994,97.7,17.7
"Myanmar (Burma)",1,1,1998,97.7,17.7
"Myanmar (Burma)",1,1,2007,97.7,17.7
"Myanmar (Burma)",1,1,1996,97.7,17.7
"Myanmar (Burma)",1,1,2005,97.7,17.7
"Myanmar (Burma)",1,1,2003,97.7,17.7
"Myanmar (Burma)",1,1,1998,97.459122,17.36285
"Myanmar (Burma)",1,1,2000,97.137222,19.47545
"Myanmar (Burma)",2,2,1996,97.5,19.25
"Myanmar (Burma)",1,1,1999,97.235003,19.893767
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,5,2007,96.611292,26.525625
"Myanmar (Burma)",1,1,1991,95.153299,16.392764
"Myanmar (Burma)",2,4,1991,95.153299,16.392764
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2002,98.244408,15.833678
"Myanmar (Burma)",1,1,2011,98.244408,15.833678
"Myanmar (Burma)",1,1,1991,98.238231,16.554022
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,1996,98.521117,10.99925
"Myanmar (Burma)",1,1,2010,98.238231,16.554022
"Myanmar (Burma)",2,2,1996,97.5,19.25
"Myanmar (Burma)",1,1,2012,97.5,19.25
"Myanmar (Burma)",1,1,2007,97.5,19.25
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",2,2,1996,97.5,19.25
"Myanmar (Burma)",1,1,1996,97.5,19.25
"Myanmar (Burma)",1,4,1996,97.5,19.25
"Myanmar (Burma)",2,4,1999,97.5,19.25
"Myanmar (Burma)",1,1,1996,97.5,19.25
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2000,97.5,19.25
"Myanmar (Burma)",1,1,2000,97.5,19.25
"Myanmar (Burma)",1,1,2005,97.5,19.25
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2005,97.5,19.25
"Myanmar (Burma)",1,1,1996,97.5,19.25
"Myanmar (Burma)",1,1,2004,97.5,19.25
"Myanmar (Burma)",1,1,1996,97.5,19.25
"Myanmar (Burma)",2,4,1996,97.5,19.25
"Myanmar (Burma)",1,1,2004,97.5,19.25
"Myanmar (Burma)",1,1,2004,97.5,19.25
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,1996,97.5,19.25
"Myanmar (Burma)",2,5,1991,97.75,17.5
"Myanmar (Burma)",1,1,1989,97.75,17.5
"Myanmar (Burma)",1,1,1989,97.75,17.5
"Myanmar (Burma)",2,5,1989,97.75,17.5
"Myanmar (Burma)",2,2,1989,97.75,17.5
"Myanmar (Burma)",1,1,1989,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",2,4,1997,97.75,17.5
"Myanmar (Burma)",1,1,1990,97.75,17.5
"Myanmar (Burma)",1,1,2007,97.75,17.5
"Myanmar (Burma)",1,1,2005,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,1992,97.75,17.5
"Myanmar (Burma)",1,1,2001,97.75,17.5
"Myanmar (Burma)",1,1,1996,96.25,18.25
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,1999,97.7,17.7
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2007,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2002,97.75,17.5
